make,fuel,aspiration,doors,body,drive,location,wheelbase,length,width,height,weight,type,cyl,size,system,bore,stroke,compression,horsepower,rpm,city,highway,price,symboling,Decade
Mazda RX4,,,,,,,,,,,2.62,,6,160,4,,,,110,,21,21,,,70
Mazda RX4 Wag,,,,,,,,,,,2.875,,6,160,4,,,,110,,21,21,,,70
Datsun 710,,,,,,,,,,,2.32,,4,108,1,,,,93,,22.8,22.8,,,70
Hornet 4 Drive,,,,,,,,,,,3.215,,6,258,1,,,,110,,21.4,21.4,,,70
Hornet Sportabout,,,,,,,,,,,3.44,,8,360,2,,,,175,,18.7,18.7,,,70
Valiant,,,,,,,,,,,3.46,,6,225,1,,,,105,,18.1,18.1,,,70
Duster 360,,,,,,,,,,,3.57,,8,360,4,,,,245,,14.3,14.3,,,70
Merc 240D,,,,,,,,,,,3.19,,4,146.7,2,,,,62,,24.4,24.4,,,70
Merc 230,,,,,,,,,,,3.15,,4,140.8,2,,,,95,,22.8,22.8,,,70
Merc 280,,,,,,,,,,,3.44,,6,167.6,4,,,,123,,19.2,19.2,,,70
Merc 280C,,,,,,,,,,,3.44,,6,167.6,4,,,,123,,17.8,17.8,,,70
Merc 450SE,,,,,,,,,,,4.07,,8,275.8,3,,,,180,,16.4,16.4,,,70
Merc 450SL,,,,,,,,,,,3.73,,8,275.8,3,,,,180,,17.3,17.3,,,70
Merc 450SLC,,,,,,,,,,,3.78,,8,275.8,3,,,,180,,15.2,15.2,,,70
Cadillac Fleetwood,,,,,,,,,,,5.25,,8,472,4,,,,205,,10.4,10.4,,,70
Lincoln Continental,,,,,,,,,,,5.424,,8,460,4,,,,215,,10.4,10.4,,,70
Chrysler Imperial,,,,,,,,,,,5.345,,8,440,4,,,,230,,14.7,14.7,,,70
Fiat 128,,,,,,,,,,,2.2,,4,78.7,1,,,,66,,32.4,32.4,,,70
Honda Civic,,,,,,,,,,,1.615,,4,75.7,2,,,,52,,30.4,30.4,,,70
Toyota Corolla,,,,,,,,,,,1.835,,4,71.1,1,,,,65,,33.9,33.9,,,70
Toyota Corona,,,,,,,,,,,2.465,,4,120.1,1,,,,97,,21.5,21.5,,,70
Dodge Challenger,,,,,,,,,,,3.52,,8,318,2,,,,150,,15.5,15.5,,,70
AMC Javelin,,,,,,,,,,,3.435,,8,304,2,,,,150,,15.2,15.2,,,70
Camaro Z28,,,,,,,,,,,3.84,,8,350,4,,,,245,,13.3,13.3,,,70
Pontiac Firebird,,,,,,,,,,,3.845,,8,400,2,,,,175,,19.2,19.2,,,70
Fiat X1-9,,,,,,,,,,,1.935,,4,79,1,,,,66,,27.3,27.3,,,70
Porsche 914-2,,,,,,,,,,,2.14,,4,120.3,2,,,,91,,26,26,,,70
Lotus Europa,,,,,,,,,,,1.513,,4,95.1,2,,,,113,,30.4,30.4,,,70
Ford Pantera L,,,,,,,,,,,3.17,,8,351,4,,,,264,,15.8,15.8,,,70
Ferrari Dino,,,,,,,,,,,2.77,,6,145,6,,,,175,,19.7,19.7,,,70
Maserati Bora,,,,,,,,,,,3.57,,8,301,8,,,,335,,15,15,,,70
Volvo 142E,,,,,,,,,,,2.78,,4,121,2,,,,109,,21.4,21.4,,,70
